epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,10700.1,0.59197,0.49838,1.11189,0.86234,0.87857,0.9064,0.73342,0.79294,0.59133,1.15746,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10846.6,0.58859,0.49444,1.11173,0.86327,0.87849,0.90631,0.73306,0.79231,0.59016,1.15709,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10992.7,0.58981,0.49724,1.11028,0.86426,0.87804,0.90668,0.73339,0.79176,0.58919,1.15696,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11141.7,0.58304,0.48907,1.10717,0.86399,0.8771,0.90769,0.734,0.79143,0.58864,1.15653,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11290.5,0.58149,0.49008,1.10568,0.8689,0.87332,0.90794,0.73538,0.79102,0.58792,1.15603,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11438.6,0.57477,0.48328,1.10196,0.87002,0.87236,0.90755,0.73555,0.79041,0.58674,1.15551,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11586.4,0.58304,0.48956,1.10663,0.86881,0.87305,0.90715,0.735,0.79007,0.58552,1.15501,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11734.5,0.57343,0.47693,1.10254,0.86841,0.87253,0.9074,0.73555,0.78938,0.58419,1.15467,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11883.8,0.57584,0.47659,1.10272,0.86898,0.87135,0.90734,0.73691,0.78916,0.58285,1.15425,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12033.1,0.56629,0.46771,1.09743,0.87253,0.8687,0.90752,0.73748,0.78899,0.58194,1.15378,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12181.4,0.56649,0.46686,1.09733,0.87466,0.8677,0.9073,0.7363,0.78875,0.5815,1.15311,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12327.4,0.5638,0.46815,1.09315,0.87735,0.8668,0.90805,0.73594,0.78888,0.58076,1.153,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12475.5,0.56358,0.46348,1.09287,0.87995,0.86593,0.90819,0.73678,0.78814,0.57971,1.15233,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12624,0.55806,0.46072,1.09238,0.88157,0.86373,0.90831,0.73612,0.78782,0.57831,1.15206,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12789.3,0.55069,0.45099,1.08838,0.88411,0.86211,0.90836,0.73689,0.78733,0.57738,1.1515,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12953.8,0.54954,0.45044,1.08707,0.89546,0.85142,0.90783,0.73635,0.78704,0.57593,1.15119,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13119.5,0.5515,0.4496,1.08755,0.89658,0.84983,0.9075,0.73639,0.78676,0.57524,1.15055,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13283.6,0.54281,0.44432,1.08486,0.90271,0.84794,0.90738,0.73794,0.78653,0.5749,1.1502,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13449.3,0.54374,0.44258,1.08257,0.90383,0.84765,0.90809,0.73896,0.78677,0.57421,1.15024,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13615.1,0.53989,0.43971,1.08263,0.90374,0.84869,0.90722,0.73989,0.78659,0.57342,1.15005,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13860.5,0.5231,0.36671,1.09562,0.90226,0.84952,0.90684,0.7387,0.78632,0.57315,1.14972,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,14023.7,0.50687,0.34716,1.08018,0.90162,0.84994,0.90727,0.73846,0.7861,0.57228,1.14938,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,14182.9,0.49953,0.33949,1.07869,0.90099,0.85074,0.90733,0.73936,0.78585,0.5722,1.14886,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14342.2,0.49124,0.33246,1.06996,0.90142,0.85101,0.90758,0.73996,0.78548,0.57153,1.14874,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14502,0.48257,0.32767,1.06368,0.89791,0.85606,0.90795,0.73964,0.78456,0.57006,1.14828,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14653.3,0.47689,0.3213,1.05991,0.89597,0.85722,0.90823,0.73922,0.78391,0.5689,1.14803,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14802.9,0.47238,0.31839,1.06115,0.89508,0.85638,0.90825,0.73939,0.78387,0.56805,1.148,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14946.1,0.46785,0.3148,1.05485,0.89671,0.85706,0.90687,0.73969,0.78332,0.56702,1.14744,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,15091.1,0.46015,0.30955,1.04895,0.90083,0.86058,0.90796,0.74112,0.78335,0.56612,1.14704,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,15239.3,0.45859,0.30996,1.04832,0.895,0.86169,0.90659,0.73977,0.78262,0.56567,1.14668,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
